date,location,total_cases,total_deaths
2020-03-08,Maldives,2.0,0.0
2020-03-09,Maldives,4.0,0.0
2020-03-10,Maldives,NA,NA
2020-03-11,Maldives,6.0,0.0
2020-03-12,Maldives,8.0,0.0
2020-03-13,Maldives,NA,NA
2020-03-14,Maldives,9.0,0.0
2020-03-15,Maldives,9.0,0.0
2020-03-16,Maldives,13.0,0.0
2020-03-17,Maldives,13.0,0.0
2020-03-18,Maldives,13.0,0.0
2020-03-19,Maldives,13.0,0.0
2020-03-20,Maldives,13.0,0.0
2020-03-21,Maldives,13.0,0.0
2020-03-22,Maldives,13.0,0.0
2020-03-23,Maldives,13.0,0.0
2020-03-24,Maldives,13.0,0.0
2020-03-25,Maldives,13.0,0.0
2020-03-26,Maldives,13.0,0.0
2020-03-27,Maldives,13.0,0.0
2020-03-28,Maldives,14.0,0.0
2020-03-29,Maldives,16.0,0.0
2020-03-30,Maldives,17.0,0.0
2020-03-31,Maldives,17.0,0.0
2020-04-01,Maldives,18.0,0.0
2020-04-02,Maldives,19.0,0.0
2020-04-03,Maldives,19.0,0.0
2020-04-04,Maldives,19.0,0.0
2020-04-05,Maldives,19.0,0.0
2020-04-06,Maldives,19.0,0.0
2020-04-07,Maldives,19.0,0.0
2020-04-08,Maldives,19.0,0.0
2020-04-09,Maldives,19.0,0.0
2020-04-10,Maldives,19.0,0.0
2020-04-11,Maldives,19.0,0.0
2020-04-12,Maldives,19.0,0.0
2020-04-13,Maldives,20.0,0.0
2020-04-14,Maldives,20.0,0.0
2020-04-15,Maldives,21.0,0.0
2020-04-16,Maldives,21.0,0.0
2020-04-17,Maldives,25.0,0.0
2020-04-18,Maldives,29.0,0.0
2020-04-19,Maldives,35.0,0.0
2020-04-20,Maldives,52.0,0.0
2020-04-21,Maldives,69.0,0.0
2020-04-22,Maldives,85.0,0.0
2020-04-23,Maldives,85.0,0.0
2020-04-24,Maldives,110.0,0.0
2020-04-25,Maldives,128.0,0.0
2020-04-26,Maldives,137.0,0.0
2020-04-27,Maldives,214.0,0.0
2020-04-28,Maldives,214.0,0.0
2020-04-29,Maldives,245.0,0.0
2020-04-30,Maldives,277.0,0.0
2020-05-01,Maldives,468.0,1.0
2020-05-02,Maldives,491.0,1.0
2020-05-03,Maldives,519.0,1.0
2020-05-04,Maldives,527.0,1.0
2020-05-05,Maldives,551.0,1.0
2020-05-06,Maldives,573.0,1.0
2020-05-07,Maldives,617.0,2.0
2020-05-08,Maldives,642.0,3.0
2020-05-09,Maldives,644.0,3.0
2020-05-10,Maldives,790.0,3.0
2020-05-11,Maldives,835.0,3.0
2020-05-12,Maldives,897.0,3.0
2020-05-13,Maldives,904.0,3.0
2020-05-14,Maldives,955.0,4.0
2020-05-15,Maldives,982.0,4.0
2020-05-16,Maldives,1031.0,4.0
2020-05-17,Maldives,1078.0,4.0
2020-05-18,Maldives,1094.0,4.0
2020-05-19,Maldives,1106.0,4.0
2020-05-20,Maldives,1143.0,4.0
2020-05-21,Maldives,1186.0,4.0
2020-05-22,Maldives,1216.0,4.0
2020-05-23,Maldives,1274.0,4.0
2020-05-24,Maldives,1303.0,4.0
2020-05-25,Maldives,1371.0,4.0
2020-05-26,Maldives,1395.0,4.0
2020-05-27,Maldives,1438.0,5.0
2020-05-28,Maldives,1457.0,5.0
2020-05-29,Maldives,1513.0,5.0
2020-05-30,Maldives,1591.0,5.0
2020-05-31,Maldives,1672.0,5.0
2020-06-01,Maldives,1773.0,5.0
2020-06-02,Maldives,1829.0,6.0
2020-06-03,Maldives,1841.0,7.0
2020-06-04,Maldives,1850.0,7.0
2020-06-05,Maldives,1872.0,7.0
2020-06-06,Maldives,1883.0,7.0
2020-06-07,Maldives,1901.0,7.0
2020-06-08,Maldives,1903.0,8.0
2020-06-09,Maldives,1916.0,8.0
2020-06-10,Maldives,1942.0,8.0
2020-06-11,Maldives,1962.0,8.0
2020-06-12,Maldives,1976.0,8.0
2020-06-13,Maldives,2003.0,8.0
2020-06-14,Maldives,2013.0,8.0
2020-06-15,Maldives,2035.0,8.0
2020-06-16,Maldives,2065.0,8.0
2020-06-17,Maldives,2094.0,8.0
2020-06-18,Maldives,2120.0,8.0
2020-06-19,Maldives,2137.0,8.0
2020-06-20,Maldives,2150.0,8.0
2020-06-21,Maldives,2187.0,8.0
2020-06-22,Maldives,2203.0,8.0
2020-06-23,Maldives,2217.0,8.0
2020-06-24,Maldives,2238.0,8.0
